,item_id,recommend,user_id,sentiment_analysis,date
0,1250,True,76561197970982479,1,"November 5, 2011"
1,22200,True,76561197970982479,2,"July 15, 2011"
2,43110,True,76561197970982479,1,"April 21, 2011"
3,251610,True,js41637,1,"June 24, 2014"
4,227300,True,js41637,1,"September 8, 2013"
5,239030,True,js41637,1,"November 29, 2013"
6,248820,True,evcentric,2,
7,370360,True,evcentric,2,"December 4, 2015"
8,237930,True,evcentric,2,"November 3, 2014"
9,263360,True,evcentric,0,"October 15, 2014"
10,107200,True,evcentric,1,"October 15, 2014"
11,224500,True,evcentric,1,"October 15, 2014"
12,250320,True,doctr,2,"October 14, 2013"
13,20920,True,doctr,2,"July 28, 2012"
14,204100,True,doctr,2,"June 2, 2012"
15,224600,True,doctr,1,"June 29, 2014"
16,207610,True,doctr,0,"November 22, 2012"
17,108710,True,doctr,2,"February 23, 2012"
18,211420,True,maplemage,1,"April 15, 2014"
19,211820,True,maplemage,1,"December 23, 2013"
20,730,True,maplemage,2,"March 14, 2014"
21,204300,True,maplemage,2,"July 11, 2013"
22,249130,True,Wackky,0,"May 5, 2014"
23,207610,True,Wackky,1,"December 24, 2012"
24,550,True,Wackky,1,"October 21, 2012"
25,65800,True,Wackky,0,"March 20, 2012"
26,220,True,Wackky,2,"March 9, 2012"
27,730,True,76561198079601835,1,
28,730,True,MeaTCompany,1,
29,72850,True,76561198089393905,0,"February 1, 2015"
30,440,True,76561198089393905,1,"June 20, 2014"
31,252950,True,76561198156664158,2,
32,440,True,76561198077246154,1,
33,304930,True,76561198077246154,1,"August 25, 2014"
34,4000,True,WeiEDKrSat,1,"December 25, 2013"
35,42910,True,thequeenpanda,1,"June 23, 2012"
36,232090,True,death-hunter,1,"September 5, 2015"
37,1250,True,death-hunter,2,"March 30, 2015"
38,4000,True,death-hunter,2,"February 19, 2014"
39,304930,True,DJKamBer,1,"July 14, 2014"
40,570,True,DJKamBer,2,"April 27, 2013"
41,218620,True,DJKamBer,1,"July 20, 2015"
42,224260,True,DJKamBer,1,"November 4, 2013"
43,1250,True,DJKamBer,1,"July 12, 2013"
44,440,True,DJKamBer,1,"August 19, 2012"
45,730,True,Rainbow-Dashie,2,"June 19, 2015"
46,440,True,Rainbow-Dashie,1,"September 20, 2014"
47,49520,True,Rainbow-Dashie,0,"September 7, 2014"
48,33440,False,76561198043472122,0,"December 19, 2014"
49,220200,True,MarbleShrine,1,"February 17, 2015"
50,211820,True,PPanther,1,"June 7, 2014"
51,440,True,devvonst,2,"February 12, 2014"
52,218740,True,devvonst,1,"February 9, 2014"
53,550,True,devvonst,2,"October 31, 2015"
54,220,True,Fr0stedLine,2,
55,238090,True,starkillershadow553,1,"February 4, 2015"
56,242130,True,starkillershadow553,1,
57,277430,True,starkillershadow553,1,"April 5, 2014"
58,8870,True,76561198058373434,1,"January 8, 2015"
59,368230,True,76561198048353577,0,"October 26, 2015"
60,4000,True,76561198048353577,2,
61,33930,True,76561198048353577,1,"March 20, 2013"
62,359320,False,76561198066046412,0,"December 28, 2015"
63,219640,True,76561198066046412,2,"May 19, 2015"
64,287980,True,tru_mu_,1,"December 15, 2015"
65,218620,True,76561198070565427,1,
66,208090,True,76561198070565427,1,"August 21, 2015"
67,242700,True,76561198070565427,1,"October 17, 2014"
68,570,False,76561198070565427,1,"June 27, 2014"
69,224260,True,76561198070565427,1,"April 28, 2014"
70,221100,True,SavageEeEe,2,"November 12, 2015"
71,570,True,76561198076909484,0,"June 18, 2014"
